Community areas_Name,GEOID,Life Expectancy,Population,Longitude,Latitude,Employer Health Ins. (%),Dental Cleanings (%),Personal Doctor (%),Routine Checkup (%),HIV Care Link (%),HIV Viral Load Suppressed (%),Medicaid Coverage (%),Specialist Physicians (Num),Uninsured Residents (%),VA Health Coverage (%),Adequate Prenatal Care (%),1st Trimester Prenatal Care (%),Healthcare Satisfaction (%),Easy Access to Care (%),Binge Drinking (%),Easy Fruit/Veg Access (%),Fruit/Veg Daily (%),No Physical Activity (%),Daily Sugary Drinks (%),Teen Birth Rate,E-Cigarette Use (%),Current Smokers (%),Maternal Smoking (%),Social Vulnerability Index (SVI),Household Composition,Proximity to Hazards (%),Eviction Rate (%),Seniors Living Alone (%),Unemployment Rate (%),Economic Diversity Index,Hardship Index,Median Income,Poverty Rate (%),Child Opportunity Index (Overall),COI - Socioeconomic Domain,COI - Education Domain,COI - Health & Environment Domain
Rogers Park,1,77.29515555,55454,-87.670171,42.00963,54.31152537,44.03539808,73.68696687,61.81451418,91.304,72.7899,22.05967867,15.44877,12.46004044,0.878508808,69.5671,65.502909,45.24271944,63.92002814,42.49720137,54.95836697,30.65291649,28.64376056,17.92630332,9.1497288,11.88388485,12.81393676,0.6324111,74.29842604,25474.49752,72.07856878,0.586916157,41.37109914,6.220927395,0.725709517,53.14574821,58876.16768,17.44948011,33.6130635,32.34859695,44.36608617,24.91304097
West Ridge,2,80.90426387,77139,-87.695017,42.001583,44.41412201,57.31449867,84.43817196,76.28250627,81.818,71.11717,30.69250196,29.051618,13.91416674,0.312042375,70.624235,65.946583,52.57635158,74.95895695,20.38412865,55.91784273,28.12290783,33.72513815,11.0805775,8.7015454,4.00568673,11.95105599,0.3995434,82.193188,26521.71974,57.24093944,0.691219454,27.77055483,7.38485511,0.768344122,75.71062185,73519.80717,17.60420569,38.82387178,31.59277516,62.27096283,30.88724313
Uptown,3,77.44787098,55120,-87.655899,41.965822,57.4440452,70.78691397,80.38939327,81.5223284,88.462,73.56608,21.30648155,99.360757,10.60563345,0.862053729,75.945017,75.449346,45.56501812,72.99421706,36.95760787,55.88530822,38.52351357,23.92863824,14.62385129,8.9704265,7.711357774,15.62361154,0.8336491,62.71482708,30822.57741,71.10294798,0.509793938,50.99582376,4.599942497,0.61743784,39.65394196,70488.18242,20.64540551,49.33248131,50.99800474,51.31032165,39.98207056
Lincoln Square,4,80.23220153,40412,-87.687513,41.975182,66.11298809,57.3601595,76.71355957,66.15201214,150,74.38424,10.84629681,121.518959,9.054698689,0.824504684,81.096491,79.598662,55.35207473,76.1562589,41.88633017,67.45104367,32.10329768,15.44660836,7.747150785,5.6864095,,,0.4275165,40.39827846,19330.7685,70.56946859,0.174679206,32.8033299,5.516879993,0.611562718,25.19919509,90780.09542,9.59506958,62.27804915,62.79917048,67.62324269,46.03970922
North Center,5,84.67435326,35150,-87.683839,41.947811,80.77216081,89.35935134,85.10395728,80.60692656,,74,5.408080139,15.088019,3.131461757,0.283405849,85.375324,87.479407,67.407366,92.68823231,50.33758913,75.45265164,45.53011779,10.19261206,,1.8744142,,,0.409074,12.3341056,14461.8897,71.75123391,0.157502792,29.81351064,3.954677886,0.398651795,3.897373089,147399.3554,4.675478223,83.76645391,86.49955633,83.46685605,50.79246476
Lake View,6,83.03115824,103048,-87.656001,41.944236,78.46127048,72.64459854,78.21937033,70.32114817,93.548,75.14318,5.458348834,290.156893,3.487313078,0.701603054,82.906342,85.742972,48.42394405,79.1772185,52.17465046,64.1489643,24.03359133,17.81667762,13.59735042,1.8891291,12.62962935,5.092576985,0.417802,18.61370398,55720.76499,71.38360804,0.205305374,53.78178754,3.392707365,0.414198471,4.705394869,116953.0674,8.130053569,82.55006856,85.32236948,81.89005286,48.48149135
Lincoln Park,7,83.27656584,70425,-87.649491,41.922696,80.53824522,84.3730671,86.91591337,85.15044147,71.429,66.01307,5.365356462,268.474517,1.97345838,0.564369541,82.589033,87.323561,59.04497072,77.30027306,43.54147089,70.48874703,34.51812693,8.693047292,10.072481,0.8910803,9.704163148,,0.1688782,15.38631516,32639.77357,70.90595267,0.279551967,42.123263,3.766018105,0.312780577,1.895544814,157079.614,8.340890955,91.59621603,92.6865006,92.70446332,52.42146612
Near North Side,8,84.78667116,97789,-87.633318,41.899611,74.463965,77.77093666,74.42878876,74.17315119,63.636,68.59756,6.406290655,1009.366618,3.113304163,0.455795751,77.705977,80.898588,55.48558045,77.8470589,44.99618405,62.28164811,29.83468517,14.29852472,12.14550694,7.2970104,4.804614528,2.273868353,0.8614977,21.28407621,61317.58705,70.95557593,0.412193605,43.38614426,3.069717268,0.343639221,4.126019634,127996.4824,9.716462287,88.82474129,90.86713006,86.80856415,49.09153127
Edison Park,9,80.46780575,11521,-87.81378,42.007627,81.49462542,82.97284624,88.56996037,81.55205004,0,,4.293956431,4.002932,1.647659684,1.09555631,89.193825,85.57377,57.79893167,80.76008157,38.93930024,63.89992572,24.04862036,21.84156799,16.22586503,0,,9.719432381,1.4150943,11.78904669,4513.581906,69.59176789,0.100023158,35.31415957,2.564102919,0.527564114,8.087954519,130497.5597,6.92033245,76.57877307,79.57815335,74.88944261,55.10952364
Norwood Park,10,82.64341004,41069,-87.803451,41.985248,71.14609155,71.97671984,88.48624396,87.64360219,,65.71429,9.970505657,147.209204,3.663560944,1.041322882,87.974314,83.827644,52.04286507,83.00850319,42.80567533,62.8974892,38.28960437,27.94580649,13.71422373,1.7864449,,4.903730317,0.9787928,38.38924268,16275.2124,72.07903651,0.400132532,31.04972723,4.219936635,0.651200764,30.81843495,111519.3461,6.51065235,66.13735897,66.67736966,66.19250403,59.85167554
